source_id,parallax,parallax_error,phot_g_mean_mag,bp_rp,phot_rp_mean_flux_over_error,phot_g_mean_flux_over_error,phot_bp_mean_flux_over_error
4154063678315488640,27.7131512340902,0.09352956,17.158373,0.8722706,85.221115,1027.0304,123.45467
330844083886196096,27.714019880296124,0.0285498,14.512453,2.9932518,899.8002,1267.5214,172.7902
873897549770609536,27.71413516588317,0.03093931,14.474754,3.0010576,688.28046,1229.4243,230.82832
2169119322418793600,27.71417830837359,0.015123252,12.452642,2.668768,2430.1345,2695.4795,1002.2269
4587501474203803136,27.715644008962954,0.018338364,8.234519,0.8941474,3856.4233,5525.364,3518.953
4914624875158240128,27.717076075693484,0.017955808,12.963477,2.788437,970.3919,1937.7739,418.26556
3618999646167012224,27.71753586662959,0.016270747,13.198476,2.4135685,1254.4316,2394.8225,419.2129
3132148296957587840,27.71879887640513,0.017096981,13.278789,2.4906816,1073.9688,1740.9211,394.17053
5120684864714808448,27.720349850705755,0.044804655,15.846182,3.5089188,784.07666,1604.0027,108.79689
740047505328700672,27.722807880573725,0.103434786,16.928137,4.3879786,263.86075,1139.57,20.963478
3232406925436440832,27.72317121583833,0.022000099,8.212367,1.0027261,3227.5627,6021.44,3015.2085
2700096134831678976,27.724018061262512,0.019924985,13.702869,2.8625355,632.326,1214.3129,260.0745
4845654606691633920,27.72465977452508,0.025031371,15.343125,3.280466,766.61053,1598.3752,139.60963
3463215959662063616,27.72535415844257,0.022594122,14.2429495,2.9514303,1360.1279,2000.4749,509.1495
894054862081533824,27.726571849328693,0.11424064,16.87458,3.7717752,166.5621,488.34265,16.31055
109934640039417984,27.72719763436413,0.048969414,15.733376,3.5667658,433.15457,847.11676,69.735466
4079485939286794752,27.729093850976167,0.03655756,15.365498,3.3458586,794.3555,1453.2178,150.92825
4247876763478309760,27.729221505398378,0.017507276,9.252153,1.2750483,5581.522,7899.297,3040.1953
5482551252566796928,27.72965636869998,0.02030989,13.953241,-0.16831875,954.18225,1910.3209,646.9408
522185284946865792,27.730036200423147,0.07969986,17.39348,4.526412,373.5725,1015.74176,13.936007
