     twomass      |  lspmname   | tic |   kic    |        catra         |        catdec        | spectype |     r_spectype      |  jmag  |  hmag  |  kmag  |  vmag  |   v    |  e_v  |       bibcode       |   prot   | g_prot |       r_prot        
 17375330+1835295 | J1737+1835  |     |          |             4.615911 |             0.324486 | M0       | 1994AJ....108.1437H |   6.36 |   5.79 |  5.572 |  9.577 |  9.577 |       | 2010MNRAS.403.1949K |          |        | 
 17393070+2745438 | J1739+2745  |     |          |             4.622993 |             0.484542 | M0.5     | 2013AJ....145..102L |  8.097 |  7.471 |  7.257 | 11.116 | 11.116 | 0.037 | APASS8              |          |        | 
 17393223+2746366 | J1739+2746  |     |          |             4.623103 |             0.484798 | M0.5     | 2013AJ....145..102L |  8.828 |  8.162 |  7.971 | 12.751 | 12.751 | 0.037 | APASS8              |  30.2526 | 0      | 2011AJ....141..166H
 17411611+7226320 | J1741+7226  |     |          |             4.630657 |             1.264356 | M4.0V    | 2015A&A...577A.128A | 10.275 |  9.706 |  9.442 | 14.764 | 14.764 | 0.127 | APASS8              |          |        | 
 17430081+0547215 | J1743+0547  |     |          |             4.638272 |             0.101043 | M1.5     | 2013AJ....145..102L |  7.441 |  6.803 |  6.631 | 10.672 | 10.672 |       | 2010MNRAS.403.1949K |          |        | 
 17435595+4322441 | J1743+4322  |     |          |             4.642282 |               0.7571 | M2.5     | 2013AJ....145..102L |  6.812 |  6.221 |  5.964 |  10.45 |  10.45 |       | 1996AJ....112.2300W |          |        | 
 17460465+2439049 | J1746+2439  |     |          |             4.651642 |             0.430247 | M3.5     | 2013AJ....145..102L |  8.814 |  8.305 |  8.059 |  12.68 |  12.68 |       | 1996AJ....112.2300W |          |        | 
 17495948+2241069 | J1749+2241  |     |          |             4.668718 |             0.395933 | M 6.5    | 1995AJ....110.1838R | 12.171 |  11.67 | 11.287 |  18.79 |  18.79 |  0.02 | 2017AJ....154..147D |          |        | 
 17501513+2345511 | J1750+2345  |     |          |             4.669857 |             0.414763 | M 3.5    | 1995AJ....110.1838R |   9.32 |  8.634 |   8.45 |   13.5 |   13.5 |  0.01 | 1982AJ.....87..419D |          |        | 
 17521185+6446087 | J1752+6446  |     |          |             4.678341 |             1.130433 | M0.5     | 2013AJ....145..102L |  8.249 |  7.615 |  7.413 |   11.2 |   11.2 |       | 1988AJ.....96.1710W |          |        | 
 17541710+0722446 | J1754+0722  |     |          |             4.687454 |              0.12879 | M4.0     | 2013AJ....145..102L |  8.772 |  8.246 |  7.974 |  13.12 |  13.12 |       | 1996AJ....112.2300W |          |        | 
 17553340+5824269 | J1755+5824  |     |          |             4.693003 |             1.019406 | M5.5     | 1991ApJS...77..417K | 11.819 | 11.227 | 10.875 |  17.98 |  17.98 |  0.02 | 2017AJ....154..147D |          |        | 
 17574849+0441405 | J1757+0441  |     |          |             4.702826 |             0.081912 | M4       | 1991ApJS...77..417K |  5.244 |  4.834 |  4.524 |   9.57 |   9.57 |       | 1990A&AS...83..357B |    130.4 |        | 1998AJ....116..429B
 17575096+4635182 | J1757+4635  |     |          |             4.703005 |             0.813125 | M2.5V    | 2015A&A...577A.128A |  7.847 |  7.254 |      7 |  11.68 |  11.68 |       | 1996AJ....112.2300W |  31.6433 | 0      | 2011AJ....141..166H
 17585673+8042435 | J1758+8042  |     |          |             4.707784 |             1.408694 | M3.5     | 2013AJ....145..102L |  8.994 |  8.407 |  8.122 |  12.88 |  12.88 |       | 1996AJ....112.2300W |          |        | 
 18004543+2933566 | J1800+2933  |     |          |             4.715693 |              0.51602 | M2.0V    | 2015A&A...577A.128A |  9.058 |   8.45 |  8.234 | 12.605 | 12.605 | 0.021 | APASS8              |  43.4868 | 0      | 2011AJ....141..166H
 18011609+3535514 | J1801+3535  |     |          |             4.717923 |             0.621291 | M3.5     | 2003AJ....126.3007R |  9.695 |  9.128 |  8.869 |  13.72 |  13.72 |       | 1996AJ....112.2300W |          |        | 
 18024624+3731048 | J1802+3731  |     |          |              4.72448 |             0.654804 | M 5      | 1995AJ....110.1838R |   9.72 |  9.189 |  8.887 |   14.8 |   14.8 |       | 1984ApJS...55..289W |    123.8 | A      | 2016ApJ...821...93N
 18041758+3557259 | J1804+3557  |     |          |             4.731121 |             0.627571 | M1.0     | 2013AJ....145..102L |  7.728 |  7.052 |  6.869 | 10.803 | 10.803 |  0.04 | APASS8              |  21.9048 | 0      | 2011AJ....141..166H
 18094071+3152124 | J1809+3152  |     |          |              4.75462 |             0.556241 | M1.0     | 2013AJ....145..102L |  8.232 |   7.66 |  7.434 |  11.38 |  11.38 | 0.046 | APASS8              |  32.1465 | 0      | 2011AJ....141..166H
 18154360+1856199 | J1815+1856  |     |          |             4.781009 |             0.330545 | M0.5     | 2013AJ....145..102L |  7.757 |  7.172 |  6.964 | 10.817 | 10.817 |       | 2010MNRAS.403.1949K |          |        | 
 18160224+1354480 | J1816+1354  |     |          |             4.782365 |             0.242835 | M0.0     | 2013AJ....145..102L |  7.343 |  6.747 |  6.557 | 10.179 | 10.179 |       | 2010MNRAS.403.1949K |          |        | 
 18161819+0131277 | J1816+0131  |     |          |             4.783524 |             0.026604 | M3.0     | 2013AJ....145..102L |  8.738 |  8.194 |  7.891 |  12.51 |  12.51 |       | 1990A&AS...83..357B |          |        | 
 18163109+4533276 | J1816+4533  |     |          |             4.784463 |             0.795134 | M0.5     | 2013AJ....145..102L |  7.264 |  6.655 |  6.455 | 10.257 | 10.257 | 0.036 | APASS8              |  39.5207 | 0      | 2011AJ....141..166H
 18165777+0441445 | J1816+0441  |     |          |             4.786404 |             0.081954 | M3       | 2015ApJ...812....3W |  9.972 |   9.47 |  9.224 |  13.74 |  13.74 |  0.01 | 1980AJ.....85..454H |          |        | 
 18171509+6833199 | J1817+6833  |     |          |             4.787658 |             1.196515 | M5.0 V   | 1997AJ....113..806G | 10.783 | 10.283 | 10.036 |  15.39 |  15.39 |       | 1988AJ.....96.1710W |          |        | 
 18180345+3846359 | J1818+3846W |     |          |             4.791176 |             0.676772 | M 4      | 1995AJ....110.1838R |  9.197 |  8.629 |   8.37 |  13.54 |  13.54 |       | 1987AJ.....93..451W |          |        | 
 18180427+3846342 | J1818+3846E |     |          |             4.791236 |             0.676764 | M3.0     | 2013AJ....145..102L |   8.04 |  7.487 |  7.222 |  11.88 |  11.88 |       | 1987AJ.....93..451W |          |        | 
 18185725+6611332 | J1818+6611  |     |          |             4.795091 |             1.155279 | M4.5     | 1994AJ....108.1437H |   8.74 |  8.264 |  7.948 |  13.49 |  13.49 |       | 1987AJ.....93..451W |          |        | 
 18220671+0620376 | J1822+0620  |     |          |             4.808867 |              0.11072 | M3.5     | 2013AJ....145..102L |  8.671 |  8.132 |  7.935 |  12.57 |  12.57 |       | 1996AJ....112.2300W |          |        | 
 18222719+6203025 | J1822+6203  |     |          |             4.810354 |             1.082986 | M4.0V    | 2015A&A...577A.128A |   8.64 |  8.047 |  7.743 |  13.41 |  13.41 |       | 1984ApJS...55..289W |          |        | 
 18250478+2438044 | J1825+2438  |     |          |              4.82182 |             0.429955 | M0.5     | 2013AJ....145..102L |  7.899 |   7.17 |   6.98 | 10.767 | 10.767 |       | 2010MNRAS.403.1949K |     26.7 |        | 2018A&A...612A..89M
 18253194+3821136 | J1825+3821  |     |          |             4.823794 |             0.669394 | M0.5     | 2013AJ....145..102L |  8.285 |  7.657 |  7.493 |  11.27 |  11.27 |       | 1996AJ....112.2300W |          |        | 
 18351779+4129149 | J1835+4129  |     |  6094396 |             4.866403 |             0.724093 | M2.0     | 2013AJ....145..102L |  8.446 |  7.927 |  7.731 |  11.78 |  11.78 |       | 1987AJ.....93..451W |          |        | 
 18351833+4544379 | J1835+4544  |     |  9258074 |             4.866442 |             0.798384 | M0.5     | 1991ApJS...77..417K |  6.881 |   6.26 |  6.082 |   9.86 |   9.86 |       | 1996AJ....112.2300W |     34.5 |        | 2018A&A...612A..89M
 18352722+4545403 | J1835+4545  |     |  9258124 |              4.86709 |             0.798686 | M2.5V    | 2015A&A...577A.128A |  8.886 |  8.314 |  8.075 |  13.02 |  13.02 |       | 1996AJ....112.2300W |          |        | 
 18353790+3259545 | J1835+3259  |     |          |             4.867861 |             0.575926 | M8.5     | 2007AJ....133.2825R |  10.27 |  9.617 |  9.171 |  18.27 |  18.27 |  0.02 | 2017AJ....154..147D |          |        | 
 18373859+3441259 | J1837+3441  |     |          |             4.876635 |             0.605463 |          |                     |   8.17 |  7.549 |  7.385 |  10.82 |  10.82 |       | 1987AJ.....93..451W |          |        | 
 18393213+3009552 | J1839+3009  |     |          |             4.884894 |             0.526482 | M0.0     | 2013AJ....145..102L |  8.065 |  7.402 |  7.253 | 10.814 | 10.814 | 0.024 | APASS8              |          |        | 
 18395990+3324538 | J1839+3324  |     |          |             4.886915 |             0.583203 | M 3.5    | 1995AJ....110.1838R |  9.131 |  8.523 |  8.264 |  13.12 |  13.12 |       | 1984ApJS...55..289W |    38.83 | A      | 2016ApJ...821...93N
 18405518+3131521 | J1840+3131S |     |          |             4.890936 |             0.550314 | M1.0V    | 2015A&A...577A.128A |   8.21 |  7.635 |  7.394 |  11.63 |  11.63 |       | 1996AJ....112.2300W |          |        | 
 18410977+2447143 | J1841+2447S |     |          |             4.891996 |              0.43262 | M4.5     | 1994AJ....108.1437H |  7.528 |  6.912 |  6.616 |  12.23 |  12.23 |     0 | APASS8              |          |        | 
 18415908+3149498 | J1841+3149  |     |          |             4.895579 |             0.555547 | M3.0     | 2013AJ....145..102L |  7.523 |  6.977 |  6.722 |  11.27 |  11.27 |       | 1984ApJS...55..289W |          |        | 
 18424498+1354168 | J1842+1354  |     |          |             4.898921 |             0.242683 | M4.0Ve   | 2014AJ....147...85R |  8.361 |  7.813 |  7.551 |  12.86 |  12.86 |       | 2014AJ....147...85R |     8.09 | A      | 2016ApJ...821...93N
 18424666+5937499 | J1842+5937N |     |          |             4.899044 |             1.040747 | M3       | 1991ApJS...77..417K |  5.189 |  4.741 |  4.432 |    8.9 |    8.9 |       | 1996AJ....112.2300W |          |        | 
 18424688+5937374 | J1842+5937S |     |          |             4.899058 |             1.040684 | M3.5     | 1991ApJS...77..417K |  5.721 |  5.197 |      5 |   9.69 |   9.69 |       | 1996AJ....112.2300W |          |        | 
 18432213+4040209 | J1843+4040  |     |  5421954 |             4.901621 |             0.709871 | M7.5     | 2003AJ....126.3007R | 11.313 | 10.688 | 10.308 |  18.28 |  18.28 |  0.03 | 2017AJ....154..147D |          |        | 
 18455236+5227400 | J1845+5227  |     | 12971897 |             4.912538 |             0.915622 | sdM4.5   | 1997AJ....113..806G | 10.967 | 10.485 | 10.229 |  15.13 |  15.13 |       | 1987AJ.....93..451W |          |        | 
 18485190+1726204 | J1848+1726  |     |          |             4.925601 |             0.304367 | K 7      | 1995AJ....110.1838R |  6.706 |  6.072 |  5.918 |  9.155 |  9.155 |       | 2010MNRAS.403.1949K |          |        | 
 18500082+0305173 | J1850+0305  |     |          |             4.930616 |             0.053898 | M0.5     | 2013AJ....145..102L |  7.724 |  7.075 |  6.857 |  10.74 |  10.74 |       | 2010MNRAS.403.1949K |          |        | 
 18500944+0407526 | J1850+0407  |     |          |             4.931242 |             0.072103 |          |                     | 11.457 | 11.012 | 10.706 |   15.8 |   15.8 |  0.05 | 1980AJ.....85..454H |          |        | 
 18515118+1634599 | J1851+1634  |     |          |             4.938641 |             0.289433 | M0.5     | 2013AJ....145..102L |  7.162 |  6.525 |  6.319 | 10.104 | 10.104 |       | 2010MNRAS.403.1949K |          |        | 
 18580014+0554296 | J1858+0554  |     |          |             4.965472 |             0.103115 | M1.0     | 2013AJ....145..102L |  6.239 |  5.587 |  5.357 |  9.217 |  9.217 |       | 2010MNRAS.403.1949K |     36.3 |        | 2018A&A...612A..89M
 18593860+0759140 | J1859+0759  |     |          |             4.972633 |             0.139404 | M0.5     | 2013AJ....145..102L |  7.971 |  7.345 |  7.154 | 10.813 | 10.813 | 0.071 | APASS8              |          |        | 
 19051739+4507161 | J1905+4507  |     |  8872565 |              4.99727 |             0.787508 | M3.5     | 1997PASP..109..849G |   9.85 |    9.3 |  9.027 |  13.89 |  13.89 |       | 1996AJ....112.2300W |          |        | 
 19070556+2053168 | J1907+2053  |     |          |             5.005136 |             0.364565 | M2.0V    | 2015A&A...577A.128A |  7.295 |  6.726 |  6.521 | 10.774 | 10.774 |       | 2010MNRAS.403.1949K |          |        | 
 19071320+2052372 | J1907+2052  |     |          |             5.005692 |             0.364373 | M2.0     | 2013AJ....145..102L |  7.278 |  6.752 |  6.517 | 10.771 | 10.771 |       | 2010MNRAS.403.1949K |          |        | 
 19074283+3232396 | J1907+3232  |     |          |             5.007858 |             0.568015 | M3.5     | 2013AJ....145..102L |  7.242 |  6.665 |  6.416 |  11.26 |  11.26 |       | 1996AJ....112.2300W |          |        | 
 19081576+2635054 | J1908+2635  |     |          |             5.010242 |             0.463994 | M 4.5    | 1995AJ....110.1838R | 10.361 |  9.762 |  9.471 |  15.14 |  15.14 |       | 1984ApJS...55..289W |          |        | 
 19095098+1740074 | J1909+1740  |     |          |             5.017158 |             0.308373 | M4.5     | 2013AJ....145..102L |  8.819 |  8.199 |  7.902 |   13.5 |   13.5 |       | 1984ApJS...55..289W |          |        | 
 19121455+0253111 | J1912+0253  |     |          |              5.02761 |             0.050377 | M3.5     | 1991ApJS...77..417K |  7.087 |  6.572 |  6.294 |   11.1 |   11.1 |       | 2014AJ....148...91L |          |        | 
 19122937+3533526 | J1912+3533  |     |          |             5.028687 |             0.620719 | M2.5     | 2013AJ....145..102L |  8.399 |  7.824 |  7.606 |  12.02 |  12.02 |       | 1987AJ.....93..451W |          |        | 
 19143925+1919025 | J1914+1919  |     |          |             5.038123 |             0.337156 | M4.5     | 2009ApJ...699..649S |  7.579 |  7.027 |  6.813 | 11.536 | 11.536 |       | 2010MNRAS.403.1949K |          |        | 
 19143932+1918219 | J1914+1918  |     |          |             5.038127 |              0.33696 | M 3.5    | 1995AJ....110.1838R |  9.101 |  8.558 |  8.335 |  13.28 |  13.28 |       | 1996AJ....112.2300W |          |        | 
 19165526+0510086 | J1916+0510  |     |          |              5.04802 |             0.090215 | M3       | 1991ApJS...77..417K |  5.583 |  4.929 |  4.673 |  9.115 |  9.115 |       | 2010MNRAS.403.1949K |     46.5 |        | 2015MNRAS.452.2745S
 19165762+0509021 | J1916+0509  |     |          |             5.048191 |             0.089892 | M8       | 1995AJ....109..797K |  9.908 |  9.226 |  8.765 |  17.49 |  17.49 |  0.02 | 2017AJ....154..147D |          |        | 
 19213867+2052028 | J1921+2052  |     |          |             5.068632 |             0.364208 | M4.5     | 2013AJ....145..102L |  8.796 |  8.219 |  7.935 |  13.37 |  13.37 |       | 1984ApJS...55..289W |          |        | 
